task id resource start end time type
mDiffFit 682 1536 17477 17807 465 sdbcs 
mDiffFit 118 1536 17970 18239 497 sdbcs 
mDiffFit 375 1536 17072 17489 518 sdbcs 
mDiffFit 476 1536 17622 18075 456 sdbcs 
mDiffFit 460 1536 18403 18770 538 sdbcs 
mDiffFit 489 1536 17603 17940 412 sdbcs 
mDiffFit 850 1536 18177 18524 538 sdbcs 
mDiffFit 187 1536 17874 18194 487 sdbcs 
mDiffFit 760 1536 18099 18752 507 sdbcs 
mDiffFit 477 1536 17973 18646 507 sdbcs 
mDiffFit 811 1536 18397 18681 497 sdbcs 
mDiffFit 114 1536 17062 17556 476 sdbcs 
mDiffFit 160 1536 18309 18585 518 sdbcs 
mDiffFit 534 1536 18597 18875 456 sdbcs 
mDiffFit 802 1536 18176 18521 497 sdbcs 
mDiffFit 820 1536 18146 18437 437 sdbcs 
mDiffFit 398 1536 17610 17965 456 sdbcs 
mDiffFit 789 1536 18007 18295 446 sdbcs 
mDiffFit 841 1536 17976 18326 518 sdbcs 
mDiffFit 704 1536 18669 19144 497 sdbcs 
mDiffFit 504 1536 17667 18017 518 sdbcs 
mDiffFit 670 1536 18179 18475 549 sdbcs 
mDiffFit 756 1536 18122 18444 466 sdbcs 
mDiffFit 873 1536 19325 19592 466 sdbcs 
mDiffFit 112 1536 17807 18852 456 sdbcs 
mDiffFit 488 1536 18351 18633 507 sdbcs 
mDiffFit 165 1536 17066 17467 544 sdbcs 
mDiffFit 427 1536 17767 18038 427 sdbcs 
mDiffFit 391 1536 17733 18234 528 sdbcs 
mDiffFit 79 1536 17514 17849 507 sdbcs 
mDiffFit 740 1536 18162 18472 456 sdbcs 
mDiffFit 405 1536 16828 17391 487 sdbcs 
mDiffFit 465 1536 17859 18143 507 sdbcs 
mDiffFit 880 1536 18157 18451 497 sdbcs 
mDiffFit 378 1536 18056 18349 476 sdbcs 
mDiffFit 383 1536 17951 18248 544 sdbcs 
mDiffFit 72 1536 17984 18347 476 sdbcs 
mDiffFit 85 1536 17514 18122 528 sdbcs 
mDiffFit 214 1536 17057 17451 417 sdbcs 
mDiffFit 243 1536 17855 18206 487 sdbcs 
mDiffFit 734 1536 18517 19133 446 sdbcs 
mDiffFit 853 1536 18159 18441 497 sdbcs 
mDiffFit 781 1536 18177 18843 507 sdbcs 
mDiffFit 75 1536 17159 17629 538 sdbcs 
mDiffFit 483 1536 18082 18727 518 sdbcs 
mDiffFit 245 1536 18481 18819 497 sdbcs 
mDiffFit 90 1536 17631 17929 456 sdbcs 
mDiffFit 791 1536 17859 18296 518 sdbcs 
mDiffFit 83 1536 17389 17889 466 sdbcs 
mDiffFit 773 1536 17616 17893 497 sdbcs 
mDiffFit 479 1536 17803 18407 476 sdbcs 
mDiffFit 429 1536 17786 18075 437 sdbcs 
mDiffFit 466 1536 17591 17977 528 sdbcs 
mDiffFit 785 1536 17875 18316 446 sdbcs 
mDiffFit 817 1536 18466 18911 507 sdbcs 
mDiffFit 387 1536 18010 19010 487 sdbcs 
mDiffFit 559 1536 17576 17935 466 sdbcs 
mDiffFit 690 1536 17027 17451 456 sdbcs 
mDiffFit 669 1536 18508 19159 497 sdbcs 
mDiffFit 782 1536 18178 18444 497 sdbcs 
mDiffFit 250 1536 17903 18212 497 sdbcs 
mDiffFit 158 1536 18309 18652 456 sdbcs 
mDiffFit 755 1536 18478 18813 476 sdbcs 
mDiffFit 788 1536 18142 18440 446 sdbcs 
mDiffFit 456 1536 18656 18977 456 sdbcs 
mDiffFit 536 1536 18603 19225 507 sdbcs 
mDiffFit 419 1536 18665 18933 446 sdbcs 
mDiffFit 402 1536 17590 17967 497 sdbcs 
mDiffFit 765 1536 18195 18474 497 sdbcs 
mDiffFit 357 1536 17974 18326 560 sdbcs 
mDiffFit 545 1536 17940 18279 476 sdbcs 
mDiffFit 738 1536 18232 18608 497 sdbcs 
mDiffFit 381 1536 17954 18343 497 sdbcs 
mDiffFit 217 1536 17093 17586 549 sdbcs 
mDiffFit 454 1536 17632 18000 507 sdbcs 
mDiffFit 831 1536 18121 18451 538 sdbcs 
mDiffFit 46 1536 18002 18689 538 sdbcs 
mDiffFit 52 1536 17133 17626 466 sdbcs 
mDiffFit 213 1536 17889 18517 487 sdbcs 
mDiffFit 394 1536 18209 18845 446 sdbcs 
mDiffFit 776 1536 18485 19194 487 sdbcs 
mDiffFit 537 1536 18609 18912 538 sdbcs 
mDiffFit 549 1536 18513 19072 549 sdbcs 
mDiffFit 386 1536 18033 18355 559 sdbcs 
mDiffFit 64 1536 17819 18160 559 sdbcs 
mDiffFit 169 1536 17021 17451 518 sdbcs 
mDiffFit 121 1536 17715 18355 446 sdbcs 
mDiffFit 173 1536 17913 18594 476 sdbcs 
mDiffFit 211 1536 16798 17287 476 sdbcs 
mDiffFit 170 1536 17510 17818 538 sdbcs 
mDiffFit 220 1536 17885 18156 446 sdbcs 
mDiffFit 368 1536 17890 18163 456 sdbcs 
mDiffFit 810 1536 18247 18759 549 sdbcs 
mDiffFit 210 1536 17383 17831 559 sdbcs 
mDiffFit 99 1536 16855 17307 497 sdbcs 
mDiffFit 365 1536 17307 17898 497 sdbcs 
mDiffFit 475 1536 17651 17949 427 sdbcs 
mDiffFit 507 1536 17551 18265 626 sdbcs 
mDiffFit 166 1536 17325 17742 466 sdbcs 
