task id resource start end time type
mDiffFit 171 1536 18478 19081 603 sdbcs 
mDiffFit 392 1536 17721 18130 409 sdbcs 
mDiffFit 92 1536 17899 18167 268 sdbcs 
mDiffFit 552 1536 17755 18284 529 sdbcs 
mDiffFit 564 1536 17843 18450 607 sdbcs 
mDiffFit 478 1536 18118 18721 603 sdbcs 
mDiffFit 418 1536 17719 18054 335 sdbcs 
mDiffFit 571 1536 18518 18809 291 sdbcs 
mDiffFit 744 1536 18235 18633 398 sdbcs 
mDiffFit 103 1536 17885 18178 293 sdbcs 
mDiffFit 179 1536 17265 17674 409 sdbcs 
mDiffFit 105 1536 18656 18955 299 sdbcs 
mDiffFit 808 1536 18445 18710 265 sdbcs 
mDiffFit 696 1536 17074 17524 450 sdbcs 
mDiffFit 762 1536 17815 18146 331 sdbcs 
mDiffFit 146 1536 17794 18133 339 sdbcs 
mDiffFit 377 1536 17049 17550 501 sdbcs 
mDiffFit 775 1536 18361 18674 313 sdbcs 
mDiffFit 792 1536 17851 18134 283 sdbcs 
mDiffFit 125 1536 19031 19819 788 sdbcs 
mDiffFit 761 1536 17530 17845 315 sdbcs 
mDiffFit 188 1536 17885 18455 570 sdbcs 
mDiffFit 248 1536 17512 17922 410 sdbcs 
mDiffFit 255 1536 17582 17871 289 sdbcs 
mDiffFit 241 1536 18295 18554 259 sdbcs 
mDiffFit 794 1536 18249 18547 298 sdbcs 
mDiffFit 62 1536 16730 17229 499 sdbcs 
mDiffFit 501 1536 18363 19039 676 sdbcs 
mDiffFit 562 1536 18415 18905 490 sdbcs 
mDiffFit 813 1536 18529 19046 517 sdbcs 
mDiffFit 130 1536 17179 17547 368 sdbcs 
mDiffFit 561 1536 18411 18699 288 sdbcs 
mDiffFit 486 1536 18162 18783 621 sdbcs 
mDiffFit 766 1536 17907 18400 493 sdbcs 
mDiffFit 251 1536 17847 18458 611 sdbcs 
mDiffFit 412 1536 16992 17730 738 sdbcs 
mDiffFit 667 1536 16933 17387 454 sdbcs 
mDiffFit 683 1536 17494 17829 335 sdbcs 
mDiffFit 840 1536 18103 18349 246 sdbcs 
mDiffFit 133 1536 17050 17592 542 sdbcs 
mDiffFit 191 1536 17785 18560 775 sdbcs 
mDiffFit 493 1536 16974 17779 805 sdbcs 
mDiffFit 822 1536 18356 18612 256 sdbcs 
mDiffFit 450 1536 18350 18664 314 sdbcs 
mDiffFit 828 1536 18212 18476 264 sdbcs 
mDiffFit 98 1536 17005 17451 446 sdbcs 
mDiffFit 147 1536 17858 18511 653 sdbcs 
mDiffFit 543 1536 17855 18148 293 sdbcs 
mDiffFit 834 1536 18597 18982 385 sdbcs 
mDiffFit 69 1536 17004 17458 454 sdbcs 
mDiffFit 798 1536 17292 17716 424 sdbcs 
mDiffFit 472 1536 17931 18919 988 sdbcs 
mDiffFit 861 1536 19338 19647 309 sdbcs 
