task_id,task_count,all_tasks_count,task_type,min_size_in,max_size_in,avg_size_in,count_in,sum_in,min_size_out,max_size_out,avg_size_out,count_out,sum_out,exec_file_size
mDiffFit_321,423,619,1,277,4144320,3312055.4,5,16560277,264,264,264.0,1,264,746640
mDiffFit_414,423,619,1,277,4144320,3312055.4,5,16560277,264,264,264.0,1,264,746640
mBackground_1,90,619,4,1706,4144320,2073864.0,4,8295456,4144320,4144320,4144320.0,2,8288640,5793368
mDiffFit_205,423,619,1,277,4161600,3329335.4,5,16646677,265,265,265.0,1,265,746640
mDiffFit_219,423,619,1,277,4161600,3329335.4,5,16646677,265,265,265.0,1,265,746640
mDiffFit_149,423,619,1,277,4161600,3329335.4,5,16646677,265,265,265.0,1,265,746640
mDiffFit_143,423,619,1,277,4161600,3329335.4,5,16646677,268,268,268.0,1,268,746640
mDiffFit_417,423,619,1,277,4144320,3315511.4,5,16577557,268,268,268.0,1,268,746640
mDiffFit_420,423,619,1,277,4144320,3312055.4,5,16560277,260,260,260.0,1,260,746640
mDiffFit_325,423,619,1,277,4144320,3315511.4,5,16577557,259,259,259.0,1,259,746640
mDiffFit_258,423,619,1,277,4161600,3329335.4,5,16646677,268,268,268.0,1,268,746640
mBackground_35,90,619,4,1706,4161600,2082504.0,4,8330016,4161600,4161600,4161600.0,2,8323200,5793368
mDiffFit_296,423,619,1,277,4144320,3312055.4,5,16560277,265,265,265.0,1,265,746640
mBackground_26,90,619,4,1706,4152960,2078184.0,4,8312736,4152960,4152960,4152960.0,2,8305920,5793368
mDiffFit_419,423,619,1,277,4144320,3315511.4,5,16577557,266,266,266.0,1,266,746640
mDiffFit_366,423,619,1,277,4144320,3312055.4,5,16560277,259,259,259.0,1,259,746640
mDiffFit_172,423,619,1,277,4161600,3329335.4,5,16646677,264,264,264.0,1,264,746640
mBackground_66,90,619,4,1706,4135680,2069544.0,4,8278176,4135680,4135680,4135680.0,2,8271360,5793368
mDiffFit_216,423,619,1,277,4161600,3329335.4,5,16646677,263,263,263.0,1,263,746640
mDiffFit_130,423,619,1,277,4152960,3318967.4,5,16594837,273,273,273.0,1,273,746640
mDiffFit_160,423,619,1,277,4161600,3329335.4,5,16646677,256,256,256.0,1,256,746640
mDiffFit_286,423,619,1,277,4144320,3312055.4,5,16560277,267,267,267.0,1,267,746640
mProject_81,90,619,0,277,1467310,733793.5,2,1467587,4144320,4144320,4144320.0,2,8288640,5930728
mDiffFit_231,423,619,1,277,4161600,3329335.4,5,16646677,263,263,263.0,1,263,746640
mDiffFit_299,423,619,1,277,4144320,3312055.4,5,16560277,270,270,270.0,1,270,746640
mDiffFit_209,423,619,1,277,4161600,3329335.4,5,16646677,261,261,261.0,1,261,746640
mDiffFit_390,423,619,1,277,4144320,3312055.4,5,16560277,270,270,270.0,1,270,746640
mDiffFit_93,423,619,1,277,4152960,3318967.4,5,16594837,263,263,263.0,1,263,746640
mDiffFit_380,423,619,1,277,4144320,3315511.4,5,16577557,267,267,267.0,1,267,746640
mProject_37,90,619,0,277,1464705,732491.0,2,1464982,4161600,4161600,4161600.0,2,8323200,5930728
mDiffFit_163,423,619,1,277,4161600,3329335.4,5,16646677,265,265,265.0,1,265,746640
mDiffFit_271,423,619,1,277,4170240,3332791.4,5,16663957,266,266,266.0,1,266,746640
mBackground_28,90,619,4,1706,4144320,2073864.0,4,8295456,4144320,4144320,4144320.0,2,8288640,5793368
mDiffFit_127,423,619,1,277,4152960,3318967.4,5,16594837,269,269,269.0,1,269,746640
mProject_78,90,619,0,277,1474794,737535.5,2,1475071,4144320,4144320,4144320.0,2,8288640,5930728
mDiffFit_40,423,619,1,277,4144320,3315511.4,5,16577557,270,270,270.0,1,270,746640
mDiffFit_63,423,619,1,277,4152960,3318967.4,5,16594837,264,264,264.0,1,264,746640
mProject_18,90,619,0,277,1539246,769761.5,2,1539523,4152960,4152960,4152960.0,2,8305920,5930728
mDiffFit_102,423,619,1,277,4144320,3315511.4,5,16577557,270,270,270.0,1,270,746640
mDiffFit_2,423,619,1,277,4152960,3318967.4,5,16594837,271,271,271.0,1,271,746640
mDiffFit_32,423,619,1,277,4152960,3318967.4,5,16594837,265,265,265.0,1,265,746640
mDiffFit_33,423,619,1,277,4144320,3315511.4,5,16577557,264,264,264.0,1,264,746640
mDiffFit_255,423,619,1,277,4161600,3329335.4,5,16646677,269,269,269.0,1,269,746640
mDiffFit_159,423,619,1,277,4161600,3329335.4,5,16646677,259,259,259.0,1,259,746640
mBackground_8,90,619,4,1706,4144320,2073864.0,4,8295456,4144320,4144320,4144320.0,2,8288640,5793368
mBackground_33,90,619,4,1706,4161600,2082504.0,4,8330016,4161600,4161600,4161600.0,2,8323200,5793368
mDiffFit_361,423,619,1,277,4144320,3312055.4,5,16560277,263,263,263.0,1,263,746640
mProject_22,90,619,0,277,1537525,768901.0,2,1537802,4152960,4152960,4152960.0,2,8305920,5930728
mDiffFit_362,423,619,1,277,4144320,3315511.4,5,16577557,266,266,266.0,1,266,746640
mDiffFit_12,423,619,1,277,4152960,3322423.4,5,16612117,263,263,263.0,1,263,746640
mDiffFit_280,423,619,1,277,4161600,3329335.4,5,16646677,273,273,273.0,1,273,746640
mProject_66,90,619,0,277,1428497,714387.0,2,1428774,4135680,4135680,4135680.0,2,8271360,5930728
mProject_16,90,619,0,277,1541620,770948.5,2,1541897,4144320,4144320,4144320.0,2,8288640,5930728
mDiffFit_320,423,619,1,277,4144320,3315511.4,5,16577557,264,264,264.0,1,264,746640
mDiffFit_167,423,619,1,277,4161600,3329335.4,5,16646677,260,260,260.0,1,260,746640
mDiffFit_372,423,619,1,277,4144320,3315511.4,5,16577557,263,263,263.0,1,263,746640
mProject_67,90,619,0,277,1475153,737715.0,2,1475430,4144320,4144320,4144320.0,2,8288640,5930728
mDiffFit_152,423,619,1,277,4161600,3329335.4,5,16646677,267,267,267.0,1,267,746640
mDiffFit_11,423,619,1,277,4152960,3322423.4,5,16612117,262,262,262.0,1,262,746640
mDiffFit_195,423,619,1,277,4161600,3329335.4,5,16646677,267,267,267.0,1,267,746640
mBackground_13,90,619,4,1706,4144320,2073864.0,4,8295456,4144320,4144320,4144320.0,2,8288640,5793368
mProject_11,90,619,0,277,1532754,766515.5,2,1533031,4144320,4144320,4144320.0,2,8288640,5930728
mDiffFit_133,423,619,1,277,4152960,3318967.4,5,16594837,259,259,259.0,1,259,746640
mProject_28,90,619,0,277,1534779,767528.0,2,1535056,4144320,4144320,4144320.0,2,8288640,5930728
mDiffFit_247,423,619,1,277,4161600,3329335.4,5,16646677,275,275,275.0,1,275,746640
mDiffFit_19,423,619,1,277,4152960,3318967.4,5,16594837,269,269,269.0,1,269,746640
mDiffFit_268,423,619,1,277,4161600,3329335.4,5,16646677,263,263,263.0,1,263,746640
