task id resource start end time type
mDiffFit 65 1536 18906 19228 462 sdbcs 
mDiffFit 369 1536 19376 20131 484 sdbcs 
mDiffFit 184 1536 18594 18870 470 sdbcs 
mDiffFit 826 1536 20095 20399 470 sdbcs 
mDiffFit 670 1536 18232 18603 484 sdbcs 
mDiffFit 687 1536 19263 19529 470 sdbcs 
mDiffFit 377 1536 18285 18627 491 sdbcs 
mDiffFit 787 1536 17553 17894 449 sdbcs 
mDiffFit 127 1536 19462 19779 477 sdbcs 
mDiffFit 416 1536 19261 19590 477 sdbcs 
mDiffFit 487 1536 19223 19589 456 sdbcs 
mDiffFit 804 1536 19104 19393 449 sdbcs 
mDiffFit 64 1536 18799 19065 519 sdbcs 
mDiffFit 858 1536 19657 20028 505 sdbcs 
mDiffFit 194 1536 19265 19550 512 sdbcs 
mDiffFit 109 1536 18691 18983 428 sdbcs 
mDiffFit 396 1536 18960 19241 463 sdbcs 
mDiffFit 770 1536 18655 19001 414 sdbcs 
mDiffFit 562 1536 18960 19353 505 sdbcs 
mDiffFit 774 1536 16774 17118 442 sdbcs 
mDiffFit 560 1536 19142 19520 470 sdbcs 
mDiffFit 723 1536 19565 19912 491 sdbcs 
mDiffFit 114 1536 18974 19333 449 sdbcs 
mDiffFit 135 1536 18146 18469 428 sdbcs 
mDiffFit 376 1536 17835 18176 498 sdbcs 
mDiffFit 218 1536 18564 18862 449 sdbcs 
mDiffFit 235 1536 19177 19537 470 sdbcs 
mDiffFit 108 1536 17705 18002 421 sdbcs 
mDiffFit 795 1536 16834 17166 470 sdbcs 
mDiffFit 691 1536 19530 20258 470 sdbcs 
mDiffFit 676 1536 18590 18860 484 sdbcs 
mDiffFit 757 1536 20147 20442 463 sdbcs 
mDiffFit 453 1536 19049 19404 470 sdbcs 
mDiffFit 748 1536 19416 19731 512 sdbcs 
mDiffFit 882 1536 19130 19448 484 sdbcs 
mDiffFit 818 1536 19318 19601 435 sdbcs 
mDiffFit 851 1536 19515 19926 449 sdbcs 
mDiffFit 359 1536 18056 18321 491 sdbcs 
mDiffFit 433 1536 19342 19674 442 sdbcs 
mDiffFit 96 1536 18760 19021 484 sdbcs 
mDiffFit 434 1536 19300 19716 449 sdbcs 
mDiffFit 843 1536 18818 19071 462 sdbcs 
mDiffFit 215 1536 17280 17641 442 sdbcs 
mDiffFit 828 1536 17852 18214 456 sdbcs 
mDiffFit 234 1536 19052 19372 414 sdbcs 
mDiffFit 825 1536 20109 20399 477 sdbcs 
mDiffFit 834 1536 18576 18855 470 sdbcs 
mDiffFit 842 1536 18393 18728 449 sdbcs 
mDiffFit 718 1536 19748 19994 505 sdbcs 
mDiffFit 742 1536 19120 19402 498 sdbcs 
mDiffFit 875 1536 18402 18677 484 sdbcs 
mDiffFit 876 1536 19274 19619 449 sdbcs 
mDiffFit 101 1536 18857 19191 484 sdbcs 
mDiffFit 698 1536 19556 19860 456 sdbcs 
mDiffFit 91 1536 19661 19918 484 sdbcs 
mDiffFit 123 1536 19593 19912 449 sdbcs 
mDiffFit 873 1536 18895 19162 498 sdbcs 
mDiffFit 501 1536 19463 20161 505 sdbcs 
mDiffFit 542 1536 19681 20022 470 sdbcs 
mDiffFit 152 1536 17942 18249 462 sdbcs 
mDiffFit 160 1536 18036 18386 477 sdbcs 
mDiffFit 833 1536 19676 20009 484 sdbcs 
mDiffFit 438 1536 19603 19938 421 sdbcs 
mDiffFit 865 1536 19274 19619 456 sdbcs 
mDiffFit 812 1536 19051 19413 477 sdbcs 
mDiffFit 443 1536 19225 19495 470 sdbcs 
mDiffFit 209 1536 17315 17674 442 sdbcs 
mDiffFit 681 1536 19554 19815 470 sdbcs 
mDiffFit 362 1536 18205 18510 455 sdbcs 
